Id,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,OverallQual,FullBath,GarageCars,TotRmsAbvGrd,MSZoning,Condition2,Neighborhood,ExterQual,PoolQC,RoofMatl,SalePrice
1,2003,2003,856.0,856,1710,548.0,7,2,2.0,8,RL,Norm,CollgCr,Gd,RL,CompShg,208500.0
2,1976,1976,1262.0,1262,1262,460.0,6,2,2.0,6,RL,Norm,Veenker,TA,RL,CompShg,181500.0
3,2001,2002,920.0,920,1786,608.0,7,2,2.0,6,RL,Norm,CollgCr,Gd,RL,CompShg,223500.0
4,1915,1970,756.0,961,1717,642.0,7,1,3.0,7,RL,Norm,Crawfor,TA,RL,CompShg,140000.0
5,2000,2000,1145.0,1145,2198,836.0,8,2,3.0,9,RL,Norm,NoRidge,Gd,RL,CompShg,250000.0
6,1993,1995,796.0,796,1362,480.0,5,1,2.0,5,RL,Norm,Mitchel,TA,RL,CompShg,143000.0
7,2004,2005,1686.0,1694,1694,636.0,8,2,2.0,7,RL,Norm,Somerst,Gd,RL,CompShg,307000.0
8,1973,1973,1107.0,1107,2090,484.0,7,2,2.0,7,RL,Norm,NWAmes,TA,RL,CompShg,200000.0
9,1931,1950,952.0,1022,1774,468.0,7,2,2.0,8,RM,Norm,OldTown,TA,RM,CompShg,129900.0
10,1939,1950,991.0,1077,1077,205.0,5,1,1.0,5,RL,Artery,BrkSide,TA,RL,CompShg,118000.0
11,1965,1965,1040.0,1040,1040,384.0,5,1,1.0,5,RL,Norm,Sawyer,TA,RL,CompShg,129500.0
12,2005,2006,1175.0,1182,2324,736.0,9,3,3.0,11,RL,Norm,NridgHt,Ex,RL,CompShg,345000.0
13,1962,1962,912.0,912,912,352.0,5,1,1.0,4,RL,Norm,Sawyer,TA,RL,CompShg,144000.0
14,2006,2007,1494.0,1494,1494,840.0,7,2,3.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,279500.0
15,1960,1960,1253.0,1253,1253,352.0,6,1,1.0,5,RL,Norm,NAmes,TA,RL,CompShg,157000.0
16,1929,2001,832.0,854,854,576.0,7,1,2.0,5,RM,Norm,BrkSide,TA,RM,CompShg,132000.0
17,1970,1970,1004.0,1004,1004,480.0,6,1,2.0,5,RL,Norm,NAmes,TA,RL,CompShg,149000.0
18,1967,1967,0.0,1296,1296,516.0,4,2,2.0,6,RL,Norm,Sawyer,TA,RL,CompShg,90000.0
19,2004,2004,1114.0,1114,1114,576.0,5,1,2.0,6,RL,Norm,SawyerW,TA,RL,CompShg,159000.0
20,1958,1965,1029.0,1339,1339,294.0,5,1,1.0,6,RL,Norm,NAmes,TA,RL,CompShg,139000.0
21,2005,2006,1158.0,1158,2376,853.0,8,3,3.0,9,RL,Norm,NridgHt,Gd,RL,CompShg,325300.0
22,1930,1950,637.0,1108,1108,280.0,7,1,1.0,6,RM,Norm,IDOTRR,TA,RM,CompShg,139400.0
23,2002,2002,1777.0,1795,1795,534.0,8,2,2.0,7,RL,Norm,CollgCr,Gd,RL,CompShg,230000.0
24,1976,1976,1040.0,1060,1060,572.0,5,1,2.0,6,RM,Norm,MeadowV,TA,RM,CompShg,129900.0
25,1968,2001,1060.0,1060,1060,270.0,5,1,1.0,6,RL,Norm,Sawyer,TA,RL,CompShg,154000.0
26,2007,2007,1566.0,1600,1600,890.0,8,2,3.0,7,RL,Norm,NridgHt,Gd,RL,CompShg,256300.0
27,1951,2000,900.0,900,900,576.0,5,1,2.0,5,RL,Norm,NAmes,TA,RL,CompShg,134800.0
28,2007,2008,1704.0,1704,1704,772.0,8,2,3.0,7,RL,Norm,NridgHt,Gd,RL,CompShg,306000.0
